shot,club,stage,mode,n_snapshots,launch_angle_deg,trackman_launch_deg,launch_error_deg,sampled_truth_angle_deg,model_bias_deg,height_error_cm,truth_direct_deg,direct_image_sep_deg,truth_explained,best_explained,truth_corrupt_zone_pct,bartlett_gate_pct
77,7Iron,last3,local,45,5.3478409596843335,13.927999999999987,-8.580159040315653,13.547160933876714,-8.199319974192381,-20.140228443234253,-6.573776730539576,13.778117550569744,0.8011301244812262,0.8583067082490534,0.0,0.0
77,7Iron,last3,truth,45,5.586711775539248,13.927999999999987,-8.341288224460738,13.54774519348306,-7.961033417943812,-19.83854231694818,-6.573776730539576,13.778117550569744,0.7974176455418194,0.8571898135251208,0.0,0.0
78,7Iron,first3,local,47,-0.8747089452619103,6.121999999999985,-6.996708945261895,5.806468164005501,-6.681177109267412,-11.721148445611103,-11.076920022744234,5.909756974728416,0.9557459295262203,0.9591725634758231,0.0,0.0
78,7Iron,first3,truth,47,-0.8047529369607036,6.121999999999985,-6.926752936960688,5.806473675433512,-6.611226612394216,-11.56227864479098,-11.076920022744234,5.909756974728416,0.9562979131885213,0.959354306139871,0.0,0.0
78,7Iron,middle3,local,47,-0.75164762121733,6.121999999999985,-6.873647621217315,5.751645184395957,-6.503292805613287,-13.481464851279204,-10.62808514884538,6.282348463136876,0.9515403134836103,0.9604037383950458,0.0,0.0
78,7Iron,middle3,truth,47,-0.6832727480114906,6.121999999999985,-6.805272748011475,5.751652922908478,-6.434925670919968,-13.40057624186356,-10.62808514884538,6.282348463136876,0.952106099588545,0.9604170695739974,0.0,0.0
78,7Iron,last3,local,46,-0.13817063886755243,6.121999999999985,-6.260170638867537,5.705800898574497,-5.843971537442049,-15.193778611711773,-10.255214398227801,6.583521342902672,0.9209307104049016,0.9250814764069812,0.0,0.0
78,7Iron,last3,truth,46,-0.10769405095216456,6.121999999999985,-6.2296940509521495,5.705799896839144,-5.813493947791309,-15.101255240355222,-10.255214398227801,6.583521342902672,0.9219031852888563,0.9253640042835362,0.0,0.0
79,7Iron,first3,local,23,4.644904575078973,15.657999999999998,-11.013095424921024,15.476274431019993,-10.83136985594102,-19.973099178842315,-7.306973548359057,13.216071367537282,0.7452611642568905,0.799565452040425,0.0,4.3478260869565215
79,7Iron,first3,truth,24,5.516458432791154,15.657999999999998,-10.141541567208844,15.47251248224636,-9.956054049455206,-15.891881843337696,-7.296100102403871,13.231609450292474,0.7549468977514981,0.8050204297586299,0.0,4.166666666666666
79,7Iron,middle3,local,31,4.382128834707651,15.657999999999998,-11.275871165292347,15.39737020620942,-11.01524137150177,-25.29851096764627,-6.169980711027907,14.839183543514379,0.712433010504693,0.8288751709842934,0.0,3.225806451612903
79,7Iron,middle3,truth,32,5.7992878823146885,15.657999999999998,-9.85871211768531,15.39580056414891,-9.596512681834222,-20.24086461090821,-6.161075072960245,14.851882673523292,0.7475216813991346,0.8311817006235545,0.0,3.125
79,7Iron,last3,local,25,7.49621457284848,15.657999999999998,-8.161785427151518,15.332761354962907,-7.836546782114427,-22.914318214396275,-4.984516851758466,16.527420216899024,0.7585650378091959,0.8710146637341281,0.0,4.0
79,7Iron,last3,truth,26,8.480556370623711,15.657999999999998,-7.177443629376286,15.334856451898403,-6.854300081274692,-19.321799225462797,-5.012934572099063,16.487005357596843,0.7788671927548922,0.8752512575121745,0.0,3.8461538461538463
80,7Iron,first3,local,16,10.971690877847339,14.687999999999988,-3.7163091221526496,14.475577505963813,-3.503886628116474,-3.170941761450546,-6.631455988649151,13.942699799200003,0.7768369152215313,0.7881859031189131,0.0,6.25
80,7Iron,first3,truth,16,12.724690957119583,14.687999999999988,-1.9633090428804056,14.477024245000983,-1.7523332878814006,-0.7224737698175776,-6.631455988649151,13.942699799200003,0.7553569276136226,0.7719897558219612,0.0,12.5
80,7Iron,middle3,local,26,10.844968529812641,14.687999999999988,-3.8430314701873467,14.431593189430444,-3.5866246596178026,-5.310139044202772,-6.534779250844018,14.077591685232276,0.8139228258551011,0.8423521903820563,0.0,0.0
80,7Iron,middle3,truth,27,12.077714753142942,14.687999999999988,-2.610285246857046,14.430546006155339,-2.352831253012397,-2.3486149792960376,-6.526798900712369,14.088725148514298,0.8075327469848403,0.8277763029590365,0.0,7.4074074074074066
80,7Iron,last3,local,27,10.1350473149577,14.687999999999988,-4.552952685042289,14.382334840428882,-4.247287525471183,-8.531555415365426,-5.724732125657898,15.206392558798774,0.8365269481922205,0.8604463126391464,0.0,0.0
80,7Iron,last3,truth,28,10.724269200888147,14.687999999999988,-3.9637307991118416,14.378995564433582,-3.6547263635454357,-5.825511787678833,-5.71798895054615,15.215777326850347,0.8302784749751613,0.8526305472952498,0.0,3.571428571428571
81,7Iron,first3,local,18,5.407369723325298,9.146999999999982,-3.739630276674684,9.033030445126187,-3.6256607218008883,-3.5201247048219515,-9.882516955075427,8.228786448344227,0.766646941989536,0.8016798792231269,0.0,0.0
81,7Iron,first3,truth,18,5.92526185883768,9.146999999999982,-3.2217381411623025,9.031302464051404,-3.1060406052137237,-3.5201247048219515,-9.882516955075427,8.228786448344227,0.7691161412755089,0.7842500199115179,0.0,0.0
81,7Iron,middle3,local,22,6.855888621315624,9.146999999999982,-2.2911113786843584,8.971615349485946,-2.115726728170322,-1.729816788710195,-9.118493387406428,9.102176912879164,0.8003803871412238,0.8130814133926527,0.0,0.0
